Full Name,Symbols
Polymetal Int,POLY.L
Polypipe Group,PLP.L
Porvair,PRV.L
Prem Foods,PFD.L
Premier Oil,PMO.L
Primary Health,PHP.L
Provident Fin.,PFG.L
Prudential,PRU.L
Pz Cussons,PZC.L
Qinetiq,QQ.L
Randgold Res.,RRS.L
Rank Grp.,RNK.L
Rathbone Bros,RAT.L
Raven Russia,RUS.L
Rdi Reit,RDI.L
Rds 'A',RDSA.L
Rds 'B',RDSB.L
Real Est.cred,RECI.L
Reckitt Ben. Gp,RB.L
Redrow,RDW.L
Relx,REL.L
Renewables,TRIG.L
Renishaw,RSW.L
Renold,RNO.L
Rentokil Initl.,RTO.L
Restaurant Gp,RTN.L
Ricardo,RCDO.L
Rightmove,RMV.L
Rio Tinto,RIO.L
Rit Capital,RCP.L
Riverstone,RSE.L
Rm,RM.L
Robert Walt.,RWA.L
Rolls-royce Hlg,RR.L
Rotork,ROR.L
Royal Bank Scot,RBS.L
Royal Mail,RMG.L
Rpc Grp.,RPC.L
Rps Grp.,RPS.L
Rsa Ins.,RSA.L
Ruffer Inv. Co.,RICA.L
S & U,SUS.L
Safestore,SAFE.L
Saga,SAGA.L
Sage Grp.,SGE.L
Sainsbury,j.L
Savills,SVS.L
Schroder Asia,SDP.L
Schroder Asian,ATR.L
Schroder Inc.,SCF.L
Schroder Japan,SJG.L
Schroder Orient,SOI.L
Schroder Real,SREI.L
Schroder Uk,SDU.L
Schroder Uk M&s,SCP.L
Schroders,SDR.L
Scot.amer.inv.,SCAM.L
Scot.inv.tst.,SCIN.L
Scot.orntl.smll,SST.L
Scottish Mort,SMT.L
Sdl,SDL.L
Secs.scotland,STS.L
Segro,SGRO.L
Senior,SNR.L
Serco Grp.,SRP.L
Severfield,SFR.L
Severn Trent,SVT.L
Shaftesbury,SHB.L
Shire,SHP.L
Shires Inc.,SHRS.L
Sig,SHI.L
Sky Plc,SKY.L
Smith&nephew,SN.L
Smith,ds.L
Smiths Group,SMIN.L
Soco Intl.,SIA.L
Spectris,SXS.L
Speedy Hire,SDY.L
Spirax-sarco,SPX.L
Spire Health,SPI.L
Spirent,SPT.L
Sportech,SPO.L
Sportsdirect,SPD.L
Sqn Asset Fin,SQN.L
Sse,SSE.L
Ssp Grp,SSPG.L
St.ives,SIV.L
St.james's Plac,STJ.L
St.modwen Prop.,SMP.L
Stagecoach,SGC.L
Stand Life Uk,SLS.L
Stand.chart.,STAN.L
Standard Life,SLET.L
Starwood Eur,SWEF.L
Std Lfe In Pty,SLI.L
Sthree,STHR.L
Stobart,STOB.L
Stock Spirit,STCK.L
Stvg,STVG.L
Synthomer,SYNT.L
Talktalk,TALK.L
Tarsus Grp.,TRS.L
Tate & Lyle,TATE.L
Taylor Wimpey,TW.L
Ted Baker,TED.L
Telecom Plus,TEP.L
Temple Bar,TMPL.L
Templeton Emrg.,TEM.L
Tesco,TSCO.L
The Euro Inv,EUT.L
The Vitec Grp.,VTC.L
Thomas Cook,TCG.L
Topps Tiles,TPT.L
Tr Euro.growth,TRG.L
Tr Prop.inv.tst,TRY.L
Travis Perkins,TPK.L
Tribal Grp.,TRB.L
Trifast,TRI.L
Trinity Mirror,TNI.L
Tritax Big Box,BBOX.L
Troy Income,TIGT.L
Tt Electronics,TTG.L
Tullow Oil,TLW.L
Twentyfour Inc,TFIF.L
Twentyfour Sel,SMIF.L
Tyman,TYMN.L
Ubm,UBM.L
Udg Healthcare,UDG.L
Uk Comm Prop,UKCM.L
Ultra Elec.,ULE.L
Unilever,ULVR.L
Unite Group,UTG.L
Utd. Utilities,UU.L
Utilico Emg,UEM.L
Value And Inc,VIN.L
Vectura,VEC.L
Vedanta,VED.L
Vesuvius,VSVS.L
Victrex,VCT.L
Vodafone Grp.,VOD.L
Volution,FAN.L
Vp,VP.L
Weir Grp.,WEIR.L
Wetherspoon,jd.L
Wh Smith,SMWH.L
Whitbread,WTB.L
William Hill,WMH.L
Wincanton,WIN.L
Witan Inv Tst,WTAN.L
Witan Pac,WPC.L
Wood Grp,j.L
Workspace Grp.,WKP.L
Worldwide Hc,WWH.L
Wpp,WPP.L
Xaar,XAR.L
Xp Power,XPP.L
